question_id,question,answer,passage,passage_id,rag_summary,FK_grade
4351,Is maternal age at childbirth associated with offspring insulin sensitivity?,"Increasing maternal age at childbirth is associated with lower fasting glucose levels and higher insulin sensitivity in adult male offspring. However, this association might not hold true in offspring of women aged ≥35 years at childbirth.","Maternal age at childbirth is increasing worldwide, but studies investigating the consequences of this trend on offspring metabolic health are scarce. We investigated the associations of maternal age at childbirth with metabolic outcomes in adult male siblings. We used data from 586 men aged 25-45 participating in a cross-sectional, population-based sibling-pair study, including maternal age at childbirth and offspring birthweight, adult weight, height, dual-energy X-ray absorptiometry (DXA)-derived body composition, blood pressure, and total cholesterol, glucose and insulin levels from fasting serum samples.",14741,Maternal age at childbirth is inversely associated with glucose levels and HOMA-IR.,11.706666666666667
4352,Does heart rate informed artificial pancreas system enhance glycemic control during exercise in adolescents with T1D?,"Heart rate signals can safely and efficaciously be integrated in a wireless AP system to inform of physical activity. While exercise contributes to hypoglycemia among adolescents, even when using an AP system, informing the system of exercise via a HR monitor improved time <70 mg dL.","To evaluate the safety and performance of using a heart rate (HR) monitor to inform an artificial pancreas (AP) system during exercise among adolescents with type 1 diabetes (T1D). In a randomized, cross-over trial, adolescents with T1D age 13 - 18 years were enrolled to receive on separate days either the unmodified UVa AP (stdAP) or an AP system connected to a portable HR monitor (AP-HR) that triggered an exercise algorithm for blood glucose (BG) control. During admissions participants underwent a structured exercise regimen.",14744,Heart rate informed artificial pancreas system enhances glycemic control during exercise in adolescents with T1D,16.220000000000006
4353,Does rhoA/rock signaling mediate peroxynitrite-induced functional impairment of Rat coronary vessels?,"Peroxynitrite-induced coronary vascular dysfunction may be mediated, at least in part, through increased expressions and activities of RhoA, ROCK1, and ROCK2.","Diabetes-induced vascular dysfunction may arise from reduced nitric oxide (NO) availability, following interaction with superoxide to form peroxynitrite. Peroxynitrite can induce formation of 3-nitrotyrosine-modified proteins. RhoA/ROCK signaling is also involved in diabetes-induced vascular dysfunction.",14746,RhoA/ROCK signaling mediates peroxynitrite-induced functional impairment of small coronary arteries.,20.170000000000005
4354,Does deficiency of the complement regulatory protein CD59 accelerate the development of diabetes-induced atherosclerosis in mice?,The deficiency of CD59 accelerates the development of diabetic atherosclerosis.,"Clinical and experimental evidence supports a strong link between the complement system, complement regulatory proteins and the pathogenesis of diabetes vascular complications. We previously reported that the complement regulatory protein CD59 is inactivated by glycation in humans with diabetes. Our objective for this study is to assess experimentally how the deficiency of CD59 impacts the development of diabetic atherosclerosis in vivo.",14751,Inhibitor CD59 is inactivated by glycation in humans with diabetes. Inhibitor CD59 is a novel biomarker of blood glucose handling.,11.91
4355,Is tuberculosis-diabetes co-morbidity characterized by heightened systemic levels of circulating angiogenic factors?,"Our data demonstrate that TB-DM is associated with heightened levels of circulating angiogenic factors, possibly reflecting both dysregulated angiogenesis and exaggerated inflammation.","Tuberculosis-diabetes co-morbidity (TB-DM) is characterized by increased inflammation with elevated circulating levels of inflammatory cytokines and other factors. Circulating angiogenic factors are intricately involved in the angiogenesis-inflammation nexus. To study the association of angiogenic factors with TB-DM, we examined the systemic levels of VEGF-A, VEGF-C, VEGF-D, VEGF-R1, VEGF-R2, VEGF-R3 in individuals with either TB-DM (n = 44) or TB alone (n = 44).",14753,Cytokines play an important role in the pathogenesis of pulmonary tuberculosis,14.445454545454545
4356,"Are low and exacerbated levels of 1, 5-anhydroglucitol associated with cardiovascular events in patients after first-time elective percutaneous coronary intervention?","Low and exacerbated levels of 1,5-AG were associated with cardiovascular events in the present study, indicating that postprandial hyperglycemia is an important risk factor for adverse clinical events even in patients with HbA1c < 7.0%, following first-time elective PCI.","Postprandial hyperglycemia plays an important role in the pathogenesis of coronary artery disease and cardiovascular events. Serum 1,5-anhydroglucitol (1,5-AG) levels are known to be a clinical marker of postprandial hyperglycemia. However, the impact of 1,5-AG level on cardiovascular events has not been fully investigated.",14756,"Low and exacerbated levels of 1,5-AG are associated with cardiovascular events in patients with stable CAD after first-time elective percutaneous coronary intervention.",21.417272727272728
4357,Is hepatic steatosis associated with cardiometabolic risk in a rural Indian population?,"In a large population of rural Indians, hepatic steatosis and waist circumference were associated with prevalent cardiometabolic risk and subclinical CVD at lower BMI relative to multi-ethnic Americans, though the association of the former with subclinical CVD was extinguished after adjustment. These results underscore the emerging relevance of hepatic steatosis and adiposity in the developing world, and suggest efforts to target these accessible phenotypes for cardiometabolic risk prevention.","While adiposity and hepatic steatosis are linked to cardiovascular risk in developed countries, their prevalence and impact in low-income countries are poorly understood. We investigated the association of anthropomorphic variables and hepatic steatosis with cardiometabolic risk profiles and subclinical cardiovascular disease (CVD) in a large rural Indian cohort. In 4691 individuals in the Birbhum Population Project in West Bengal, India, we performed liver ultrasonography, carotid ultrasound and biochemical and clinical profiling.",14759,The prevalence of hepatic steatosis and anthropomorphic variables is associated with cardiovascular risk profiles and subclinical cardiovascular disease in a rural Indian population.,24.162608695652178
4358,Is non-alcoholic fatty liver disease associated with late but not early atherosclerotic lesions in Chinese inpatients with type 2 diabetes?,NAFLD was not associated with elevated C-IMT but was associated with carotid and lower limb atherosclerotic plaque independent of conventional cardiovascular disease risk factors and metabolic syndrome in Chinese inpatients with T2DM.,"To investigate the association between non-alcoholic fatty liver disease (NAFLD) and carotid and lower limb atherosclerotic lesions in a large group of hospitalized-based type 2 diabetic population and to assess the prevalence and characteristics of NAFLD in Chinese subjects with type 2 diabetes (T2DM). A total of 8571 patients (4804 men) with T2DM were included in this cross-sectional study. The main outcome measures were detection of NAFLD, carotid intima-media thickness (C-IMT), carotid and lower limb atherosclerotic plaque formation, and classical risk factors.",14762,NAFLD is associated with late but not early atherosclerotic lesions in Chinese inpatients with type 2 diabetes.,12.55764705882353
4359,Are changes in Weight and Metabolic Syndrome Associated with Prostate Growth Rate Over a 5 Year Period?,"Changes in weight, WC and newly diagnosed MetS affected prostate growth rate during 5-years. Reducing weight and controlling MetS could decrease the prostate growth rate.","To evaluate the relationship between changes in weight, waist circumference (WC), metabolic syndrome (MetS), and prostate growth over 5 years in adult population. Data were collected from 1,088 adult males (age ≥ 40 years) without history of prostate cancer who underwent more than 2 general health screenings between 2006 and 2013. Percent changes in prostate volume (PV) were assessed for 5 years after baseline measurements.",14765,Changes in weight and Metabolic Syndrome Associated with Prostate Growth Rate Over a 5 Year Period,12.037500000000005
4360,"Is fat accumulation in the tongue associated with male gender, abnormal upper airway patency and whole-body adiposity?",Increased tongue adiposity is influenced by gender and is associated with abnormal upper airway patency and body composition parameters.,"To examine associations between tongue adiposity with upper airway measures, whole-body adiposity and gender. We hypothesized that increased tongue adiposity is higher in males and positively associated with abnormal upper airway measures and whole-body adiposity. We studied subjects who underwent whole-body positron emission tomography/computed tomography to obtain tongue attenuation (TA) values and cross-sectional area, pharyngeal length (PL) and mandibular plane to hyoid distance (MPH), as well as abdominal circumference, abdominal subcutaneous and visceral (VAT) adipose tissue areas, neck circumference (NC) and neck adipose tissue area.",14768,Increased tongue adiposity is associated with abnormal upper airway measures and whole-body adiposity.,16.710769230769234
4361,Is change in serum albumin concentration inversely and independently associated with risk of incident metabolic syndrome?,"Although a higher baseline level of serum albumin was linked to increased risk of incident metabolic syndrome, increase in serum albumin concentration might be a protective factor against the risk of MetS.","Low serum albumin concentration is associated with a high risk of morbidity and mortality from cardiovascular diseases. However, high serum albumin level appears to be linked to metabolic syndrome (MetS). This study aimed to dissect the relative contributions of baseline and change in serum albumin concentration to the risk of incident metabolic syndrome.",14770,Percent change in serum albumin concentration inversely correlated with percent change in serum level of high-sensitivity C-reactive protein,18.307777777777783
4362,Does partial ileal bypass afford protection from onset of type 2 diabetes?,PIB appears to afford partial protection from the onset of type 2 diabetes for over 30 years.,"Partial ileal bypass (PIB) in the National Institutes of Health-sponsored Program on the Surgical Control of the Hyperlipidemias (POSCH) randomized controlled trial was found to reduce plasma cholesterol, in particular low density lipoprotein cholesterol, with concomitant retardation of atherosclerotic cardiovascular disease and increased life expectancy. Glucagon-like peptide-1, related to amelioration of type 2 diabetes, is increased over 5-fold after PIB. We hypothesized that PIB, in addition to its action on cholesterol metabolism, may also prevent type 2 diabetes.",14773,"No significant differences were observed between diabetics and non-diabetics as to bypass patency, number of re-interventions and amputations.",19.618888888888893
4363,Does supra-physiological rhGH administration induce gender-related differences in the hypothalamus-pituitary-thyroid ( HPT ) axis in healthy individuals?,We suggest that rhGH inhibits TSH at central level both in males and females. The pattern of normalization was different in the two genders probably due to gonadal steroids modulation on GH-IGF-I axis.,"The use of recombinant human growth hormone (rhGH) is a common habit among athletes. While the effects of rhGH administration have been described with contrasting results in males, no data exist in females to date. The aim of the present study was to evaluate the effects of rhGH administration on TSH, FT Twenty-one healthy trained male and female athletes were treated with 0.03 mg rhGH/kg body mass 6 days/week for 3 weeks.",14776,Gender-related metabolic alterations in acromegaly are gender-dependent.,20.854285714285712
4364,Are insulin-like growth factor-3 knockout mice resistant to experimental dextran sulfate sodium colitis?,"Our data demonstrate that IGFBP-3 influences severity of DSS induced colitis. The observations suggest that in the absence of IGFBP-3, enhanced IGF bioactivity leads to increased epithelial proliferation and mucosal barrier repair, thereby lessening inflammation.","Insulin-like growth factor-1 (IGF-1) bioactivity has been shown to be attenuated by insulin-like growth factor binding protein-3 (IGFBP-3), one of six IGF-binding proteins. While prior work revealed no major phenotype associated with IGFBP-3 knockout mice, we explored the possibility that a phenotype could be revealed under specific conditions of gastrointestinal stress. The dextran sodium sulfate (DSS) murine model of ulcerative colitis was used for this study.",14778,Insulin-like growth factor-1 (IGF-1) is attenuated by IGFBP-3 knockout mice.,10.73
4365,Does remnant lipoproteinemia predict cardiovascular events in patients with type 2 diabetes and chronic kidney disease?,RLP-C is useful for risk assessment of future cardiovascular events in patients having type 2 DM and CKD.,Patients having type 2 diabetes mellitus (DM) and chronic kidney disease (CKD) are at high risk of cardiovascular events. Triglyceride-rich lipoprotein levels are synergistically increased in patients with DM and CKD. This study examined the predictive value of remnant lipoprotein levels for cardiovascular events in patients with DM and CKD.,14780,Remaining lipoprotein levels predict cardiovascular events in patients with type 2 diabetes and chronic kidney disease.,17.2
4366,Does metformin ameliorate podocyte damage by restoring renal tissue nephrin expression in type 2 diabetic rats?,Metformin protects kidney podocytes in T2DM model rats by dose-dependently adjusting renal nephrin expression.,"Previous studies found that metformin provided some renoprotection for diabetic renal damage. In the present study, we evaluated the effects of different doses of metformin on the expression of renal tissue nephrin in type 2 diabetes mellitus (T2DM) model rats and the possible mechanism underlying its protective effect in kidney podocytes. A high-fat diet combined with a low dose of streptozotocin was used to induce T2DM model rats.",14783,Effects of metformin on renal tissue nephrin expression in type 2 diabetic rats.,9.44923076923077
4367,Are hypoglycemic episodes associated with inflammatory status in patients with type 1 diabetes mellitus?,"For the first time, we report an association between the number of mild hypoglycemic episodes, recorded in a real life setting, and the level of inflammatory markers in T1DM patients with good glycemic control.",Glycemic control may be associated with inflammatory status in type 1 diabetes (T1DM). We examined the association between glucose control parameters and circulating inflammation markers in T1DM. The study included 101 T1DM patients treated with personal insulin pumps (T1DM duration 15.2 + 7.3 years).,14786,Glycemic control may be associated with inflammatory status in type 1 diabetes.,15.64
4368,Does nitric oxide differentially affect proteasome activator 28 after arterial injury in type 1 and type 2 diabetic rats?,PA28 dysregulation may explain the differential ability of NO to inhibit neointimal hyperplasia in type 1 versus type 2 diabetes.,"Diabetic patients display aggressive restenosis after vascular interventions, likely because of proproliferative influences of hyperglycemia and hyperinsulinemia. We have shown that nitric oxide (NO) inhibits neointimal hyperplasia in type 2, but not in type 1, diabetic rats. Here, we examined proteasome activator 28 (PA28) after arterial injury in different diabetic environments, with or without NO.",14789,"Nitric oxide inhibits neointimal hyperplasia in type 2 diabetic rats, but not in type 1 diabetic rats.",13.251764705882355
4369,Is retinal blood flow increased in type 1 diabetes mellitus patients with advanced stages of retinopathy?,"In comparison with controls and nDRP patients, retinal blood flow significantly increased in the pDRP group, which previously underwent photocoagulation treatment, but not in the npDRP patients. These changes may be a consequence of a failing vascular autoregulation in advanced diabetic retinopathy.","Diabetic retinopathy (DRP) is a common microvascular complication seen in patients with type 1 diabetes mellitus (T1DM). The effects of T1DM and concomitant (proliferative) DRP on retinal blood flow are currently unclear. Therefore, we measured retinal vascular blood flow in T1DM patients with and without DRP and non-diabetic controls.",14793,Diabetic retinopathy and early nephropathy in type 1 diabetes.,11.520000000000003
4370,Is the level of netrin-1 decreased in newly diagnosed type 2 diabetes mellitus patients?,"Plasma netrin-1 levels were decreased in patients with newly diagnosed T2DM, and the levels of netrin-1 were negatively associated with IR and glucose homeostasis. Future studies on the precise mechanism will offer new insights into the prevention and treatment of T2DM.",Pancreatic β-cell dysfunction resulting from inflammation has been recognized to contribute to type 2 diabetes mellitus (T2DM). Netrin-1 is a new indicator of subclinical inflammation and it has a role in β-cell apoptosis. This study evaluated the level of netrin-1 in newly diagnosed T2DM patients and explored whether netrin-1 is a reliable marker or a key factor in the development of T2DM.,14798,"The level of netrin-1 is negatively correlated with HOMA-IR, fasting blood glucose, postprandial blood glucose, fasting insulin and HbA1c.",13.556842105263158
4371,Is neonatal vitamin D status associated with later risk of type 1 diabetes?,"Our two large-scale national studies showed that 25(OH)D3 levels around the time of birth were not associated with later type 1 diabetes risk. Whether higher levels of 25(OH)D3 during pregnancy, acquired by higher doses of supplementation than are recommended today in most countries, could protect the offspring against type 1 diabetes cannot be ruled out by the present studies.","The aim of this work was to assess whether neonatal levels of 25-hydroxyvitamin D (25(OH)D) are associated with risk of developing type 1 diabetes before the age of 18 years. Two large-scale studies with different designs-a case-cohort and a case-control-were conducted using Danish national register data and biobank material. Weighted Cox regression and conditional logistic regression were used to calculate HRs and ORs, respectively.",14801,Serum levels of 25-hydroxyvitamin D are associated with risk of developing type 1 diabetes before the age of 18 years.,14.040000000000003
4372,Does non-metabolisable insulin glargine promote breast cancer growth in a mouse model of type 2 diabetes?,"These results demonstrate that in a mouse model of type 2 diabetes, at high concentrations, basal insulin analogues and a non-metabolisable glargine analogue do not promote the progression of breast tumours.","Previous epidemiological studies have reported a potential link between insulin analogues and breast cancer; however, a prospective randomised controlled trial showed neutral effects of insulin glargine on cancer risk. Insulin glargine is metabolised in vivo to an M1 metabolite. A question remains whether a subset of individuals with slower rates of glargine metabolism or who are on high doses could, theoretically, have an increased risk of cancer progression if a tumour is already present.",14804,A non-metabolisable form of insulin glargine induced breast cancer growth in a mouse model of type 2 diabetes.,9.785555555555558
4373,Do overweight adolescents with type 2 diabetes have significantly higher lipoprotein abnormalities than those with type 1 diabetes?,"Despite having no difference in absolute LDL levels, children with type 2 diabetes were more likely to have small, dense LDL particle pattern, higher apo B100 and lower total HDL, HDL-2, and HDL-3 fractions. Furthermore, poor glycemic control was associated with abnormal lipoprotein profiles in patients with both type 1 and 2 diabetes.","Diabetes-associated glucoregulatory derangements may precipitate atherogenesis in childhood and CVD risk, particularly with obesity. We aimed to delineate lipoprotein profile differences between children with type 1 and 2 diabetes who are overweight/obese. Data were obtained from electronic medical records of patients ≥85th BMI percentile with type 1 (n=159) and type 2 (n=77) diabetes, ages 12-19y.",14808,Adolescents with type 1 diabetes have a more atherogenic lipid profile than controls.,10.356923076923078
4374,Does low-Density Lipoprotein Receptor Signaling mediate the Triglyceride-Lowering Action of Akkermansia muciniphila in Genetic-Induced Hyperlipidemia?,Increased colonization of the disease-protective gut bacteria A muciniphila protected the host from acute and chronic hyperlipidemia by enhancing the low-density lipoprotein receptor expression and alleviating hepatic endoplasmic reticulum stress and the inflammatory response in CREBH-null mice.,"Akkermansia muciniphila (A muciniphila) is a mucin-degrading bacterium that resides in the mucus layer whose abundance inversely correlates with body weight and the development of diabetes mellitus in mice and humans. The objective of this study was to explore the regulatory effect of A muciniphila on host lipoprotein metabolism, insulin sensitivity, and hepatic metabolic inflammation. By establishing a novel mouse model that colonized the A muciniphila in the gastrointestinal tract of the cAMP-responsive binding protein H (CREBH)-deficient mouse and in vivo chylomicron assay, we found that increased colonization of A muciniphila in the gastrointestinal tract of wild-type mice protected mice from an acute fat load-induced hyperlipidemia compared with vehicle-treated mice.",14812,"A muciniphila ameliorates chronic hypertriglyceridemia, insulin sensitivity, and hepatic metabolic inflammation in mice.",20.341538461538466
4375,Do human endothelial progenitor cells-derived exosomes accelerate cutaneous wound healing in diabetic rats by promoting endothelial function?,"Taken together, our findings indicated that EPCs-derived exosomes facilitate wound healing by positively modulating vascular endothelial cells function.","Wound healing is deeply dependent on neovascularization to restore blood flow. The neovascularization of endothelial progenitor cells (EPCs) through paracrine secretion has been reported in various tissue repair models. Exosomes, key components of cell paracrine mechanism, have been rarely reported in wound healing.",14814,"Exosomes enhance the proliferation, migration and tube formation of endothelial cells in vitro.",13.98769230769231
4376,Do trimer procyanidin oligomers contribute to the protective effects of cinnamon extracts on pancreatic β-cells in vitro?,"Trimer procyanidins in the cinnamon extracts contribute to the pancreatic β-cell protection, thus to the anti-diabetic activity.",Cinnamon extracts rich in procyanidin oligomers have shown to improve pancreatic β-cell function in diabetic db/db mice. The aim of this study was to identify the active compounds in extracts from two species of cinnamon responsible for the pancreatic β-cell protection in vitro. Cinnamon extracts were prepared from Cinnamomum tamala (CT-E) and Cinnamomum cassia (CC-E).,14817,Cinnamon extracts rich in trimer procyanidin oligomers contribute to the protective effects of cinnamon extracts on pancreatic -cells in vitro.,14.040000000000003
4377,Does regular walking improve plasma protein concentrations that promote blood hyperviscosity in women 65-74 yr with type 2 diabetes?,"Improved plasma inflammatory profile and decreased plasma fibrinogen concentration is induced by regular walking, independent of glycaemic control. These factors may mediate the improved haemorheology associated with exercise training in metabolic disorders.","The purpose of the present study was to investigate the effects of regular treadmill walking on plasma factors that increase low-shear blood viscosity and red blood cell aggregation in older women with type 2 diabetes. Eighteen women with type 2 diabetes (age: 69±3 yr; body mass index: 30.5±5.0 kg⋅m-2) performed 12-wk of 120 min⋅wk-1 of supervised treadmill walking at an intensity equivalent to the gas-exchange threshold. Peak exercise values, anthropometry and blood indices of diabetic status, markers of inflammation, and plasma fibrinogen were analysed during a 6-wk pre-training 'control' period, and then after 6 and 12-wk of regular walking.",14822,Walking improves blood viscosity and red blood cell aggregation in older women with type 2 diabetes.,12.037500000000005
4378,Does black ginseng extract exert anti-hyperglycemic effect via modulation of glucose metabolism in liver and muscle?,"Collectively, the results suggested that GBG05-FF is a potentially useful agent for treatment of diabetes by increasing glucose uptake.","Ginseng (Panax ginseng C. A. Meyer, Araliaceae) has been used as a traditional medicine for thousands of years for the treatment of a wide variety of diseases, including diabetes. Processed ginseng named Black ginseng exhibits more potent biological activities than white and red ginseng. The aim of this study was to investigate the effects of black ginseng extract (GBG05-FF) on hyperglycemia and glucose tolerance in streptozotocin (STZ)-induced diabetic mice.",14825,Effect of GBG05-FF on glucose uptake and related protein expression and phosphorylation in C2C12 cells.,11.500000000000004
4379,Are gCK gene mutations a common cause of childhood-onset MODY ( maturity-onset diabetes of the young ) in Turkey?,Approximately 1 in 4 MODY cases in this Turkish paediatric cohort have a GCK mutation. Selection of patients for GCK gene analysis using the MODY probability score was an effective way of identifying most (11/12) patients with a GCK mutation.,"Inactivating heterozygous mutations in the GCK gene are a common cause of MODY and result in mild fasting hyperglycaemia, which does not require treatment. We aimed to identify the frequency, clinical and molecular features of GCK mutations in a Turkish paediatric cohort. Fifty-four unrelated probands were selected based on the following criteria: age of diagnosis ≤17 years, family history of diabetes in at least two generations, anti-GAD/ICA negative, BMI<95.p and follow-up with diet, oral antidiabetic drug or low-dose insulin treatment (≤0.5U/kg/d).",14829,prevalence and nature of GCK mutations in a Danish paediatric cohort,10.154545454545456
4380,Does intermittent energy restriction induce changes in breast gene expression and systemic metabolism?,"The transcriptional response to IER is variable in breast tissue, which was not reflected in the systemic response, which occurred in all subjects. The mechanisms of breast responsiveness/non-responsiveness require further investigation.","Observational studies suggest weight loss and energy restriction reduce breast cancer risk. Intermittent energy restriction (IER) reduces weight to the same extent as, or more than equivalent continuous energy restriction (CER) but the effects of IER on normal breast tissue and systemic metabolism as indicators of breast cancer risk are unknown. We assessed the effect of IER (two days of 65% energy restriction per week) for one menstrual cycle on breast tissue gene expression using Affymetrix GeneChips, adipocyte size by morphometry, and systemic metabolism (insulin resistance, lipids, serum and urine metabolites, lymphocyte gene expression) in 23 overweight premenopausal women at high risk of breast cancer.",14833,Intermittent energy restriction induces changes in breast gene expression and systemic metabolism.,18.59
4381,Does mild Hyperbaric Oxygen inhibit Growth-related Decrease in Muscle Oxidative Capacity of Rats with Metabolic Syndrome?,Mild hyperbaric oxygen inhibited growth-related increase in blood glucose levels and decrease in muscle oxidative capacity of rats with metabolic syndrome because of improved oxidative metabolism.,"We examined the effects of mild hyperbaric oxygen on the properties of the soleus muscle in rats with metabolic syndrome. Five-week-old metabolic syndrome (SHR/NDmcr-cp, cp/cp) rats were divided into normobaric (CP) and mild hyperbaric oxygen (CP-H) groups (n=5/group). In addition, 5-week-old Wistar rats were assigned as the normobaric control (WR) group (n=5).",14838,Effects of mild hyperbaric oxygen on the properties of the soleus muscle in rats with metabolic syndrome.,11.863529411764706
4382,Is diabetes associated with perforated appendicitis?,Our study demonstrated that a history of diabetes is an important factor with regard to the rate of perforated appendicitis.,"The purpose of this study was to investigate the relationship between perforated appendicitis and patient with diabetes using a population-based data set. This study used data from the Longitudinal Health Insurance Database 2005 in Taiwan. We identified 4,806 patients hospitalized with acute appendicitis.",14842,There was a significant difference in rates of perforated appendicitis between patients with and those without diabetes.,14.64
4383,Does rNA-binding protein CUGBP1 regulate insulin secretion via activation of phosphodiesterase 3B in mice?,We conclude that CUGBP1 is a critical regulator of insulin secretion via activating PDE3B. Repressing this protein might provide a potential strategy for treating type 2 diabetes.,"CUG-binding protein 1 (CUGBP1) is a multifunctional RNA-binding protein that regulates RNA processing at several stages including translation, deadenylation and alternative splicing, as well as RNA stability. Recent studies indicate that CUGBP1 may play a role in metabolic disorders. Our objective was to examine its role in endocrine pancreas function through gain- and loss-of-function experiments and to further decipher the underlying molecular mechanisms.",14845,CUGBP1 regulates insulin secretion via activation of phosphodiesterase 3B.,16.764444444444447
4384,Does ginsenoside Rg3 prevent INS-1 cell death from intermittent high glucose stress?,Ginsenoside Rg3 protected INS-1 cell death from IHG with reducing apoptosis and increasing proliferation.,"Ginsenoside Rg3 has been proposed to mediate anti-diabetic effects, but their direct effect on pancreatic β cell viability and mechanisms are not clearly understood. Recent studies suggest that intermittent high glucose (IHG) could be more harmful to pancreatic β cells than sustained high glucose. There are few reports about the effect of the ginsenosideRg3 to β cell apoptosis and proliferation against IHG.",14850,The effect of ginsenoside Rg3 on glycemia following an oral glucose tolerance test.,9.44923076923077
4385,Does metformin enhance anti-tumor effect of L-type amino acid transporter 1 ( LAT1 ) inhibitor?,"By MTT assay, 0.5 mM metformin inhibited proliferation of Ca9-22 cells to 70% of control. In the presence of 100 μM JPH203, proliferation of Ca9-22 cells was inhibited to 60% of control. By combining these 2 drugs, proliferation of Ca9-22 was significantly inhibited to 40% of control. However, this regimen was not very effective against HEp-2 cells. This combination also suppressed in vivo growth of Ca9-22 cells in a xenotransplant model. A combination of anti-LAT1 drug with metformin may be an effective anti-proliferative therapy for certain subsets of cancers.","In many cancer cells, L-type amino acid transporter 1 (LAT1) transports neutral amino acids with bulky side chain, which activate mammalian target of rapamycin (mTOR) to cause cell proliferation. An anti-diabetic drug, metformin, has been shown to activate AMP-activated protein kinase (AMPK), which leads to inhibition of mTOR. LAT1 inhibition in combination with metformin could result in more prominent suppression of mTOR activity.",14854,The early and late phases of apoptosis were enhanced in the metformin-treated tumour cells that were analyzed,9.781176470588235
4386,Is epigenetic and SP1-mediated regulation involved in the repression of galactokinase 1 gene in the liver of neonatal piglets born to betaine-supplemented sows?,"Our results suggest that maternal dietary betaine supplementation during gestation suppresses GALK1 expression in the liver of neonatal piglets, which involves complex gene regulation mechanisms including DNA methylation, histone modification, miRNAs expression and SP1-mediated transcriptional modulation.","In this study, we sought to investigate the effects of maternal betaine supplementation on the expression and regulation of GALK1 gene in the liver of neonatal piglets. Sixteen sows of two groups were fed control or betaine-supplemented diets (3 g/kg), respectively, throughout the pregnancy. Newborn piglets were individually weighed immediately after birth, and one male piglet close to mean body weight from the same litter was selected and killed before suckling.",14856,The expression and regulation of GALK1 gene in the liver of neonatal piglets was down-regulated in betaine-supplemented sows.,15.685555555555556
4387,Is metabolic syndrome associated with disease activity in patients with rheumatoid arthritis?,"Remission rate is significantly lower in RA patients with MS. Disease activity of RA, body mass index, and educational level are associated with metabolic syndrome in patients with RA.",To investigate the association between metabolic syndrome (MS) and disease activity in patients with rheumatoid arthritis (RA). Siriraj Rheumatoid Arthritis registry is a prospective cohort study establishing since May 2011. A total of 267 patients who had complete data in February 2015 were included in these analyses.,14859,Association between metabolic syndrome and disease activity in patients with rheumatoid arthritis,18.59
4388,Are serum homocysteine level and protein intake related to risk of microalbuminuria?,Both hyperhomocysteinemia and protein intake are related to microalbuminuria independent of NIDDM and hypertension. Hyperhomocysteinemia may partly explain the link between MA and increased risk of cardiovascular disease.,"Microalbuminuria (MA) is a strong predictor of cardiovascular disease, but its causes are incompletely understood. Hyperhomocysteinemia is a recently recognized risk factor for cardiovascular disease independent of established risk factors. It is not known whether hyperhomocysteinemia is associated with MA, and thus could be a possible cause of microalbuminuria.",14863,Increased homocysteine levels correlate with risk of microalbuminuria in non-insulin-dependent diabetic patients.,20.55666666666667
4389,Is proteinuria still useful for the screening and diagnosis of overt diabetic nephropathy?,Measurements of proteinuria presented almost perfect accuracy for the screening and diagnosis of overt diabetic nephropathy. Protein measurement in spot urine is a reliable and simple method for the screening and diagnosis of overt diabetic nephropathy.,"To assess the performance of urinary total protein measurements in timed 24-h urine collection (24-h UP) and in a diurnal random urine specimen (RUS) for the screening and diagnosis of overt diabetic nephropathy. A total of 167 diabetic patients (20 type 1 and 147 type 2 diabetic patients; 78 women and 89 men), aged 20-84 years, collected 217 timed 24-h urine specimens. Albumin was measured by immunoturbidimetry, total protein by sulfosalicylic acid technique, and creatinine by Jaffe's method.",14867,The use of urinary total protein measurements in timed 24-h urine collection and in a diurnal random urine specimen for the diagnosis of overt diabetic nephropathy.,17.242307692307694
4390,Is regression of left ventricular wall thickness during ACE-inhibitor treatment of essential hypertension associated with an increase in insulin mediated skeletal muscle blood flow?,"Impaired insulin-induced stimulation of leg blood flow was related to an increased LVWT. Furthermore, during fosinopril treatment, regression of LVWT was associated with enhanced skeletal muscle blood flow during hyperinsulinemia. This indicates that impaired peripheral blood flow (and thereby increased afterload) may be a possible mechanism explaining the previously found association between insulin resistance and cardiovascular hypertrophy.","Left ventricular hypertrophy (LVH) has been associated with insulin resistance, a condition with an impaired insulin-mediated vasodilation in skeletal muscle. ACE-inhibitors have been reported to be superior to most other antihypertensive drugs in inducing a regression of LVH. In a double-blind study with parallel groups, 50 patients with essential hypertension were randomized to treatment with either fosinopril (20 mg o.d.)",14870,Increased insulin-stimulated blood flow in patients with mild essential hypertension is associated with regression of left ventricular wall thickness.,17.28315789473685
4391,Are stiffness indexes beta of the common carotid and femoral arteries associated with insulin resistance in NIDDM?,Arterial stiffness indexes beta of CCA and FA were associated with insulin resistance in NIDDM subjects.,"To investigate the association between arterial wall stiffness indexes beta of the common carotid artery (CCA) and the femoral artery (FA) and insulin resistance in NIDDM subjects in a cross-sectional study. We evaluated the arterial stiffness indexes beta of CCA and FA using an ultrasonic phase-locked echo-tracking system in 60 NIDDM subjects attending the diabetes center in Osaka City University Hospital, compared with 120 age- and sex-matched control subjects. Insulin sensitivity indexes were evaluated using a euglycemic-hyperinsulinemic clamp.",14874,The arterial stiffness indexes beta of the common carotid artery and the femoral artery are associated with insulin resistance in NIDDM subjects.,18.735454545454548
